"fit_key","model_index","response_index","response_var","spec_index","spec_code","domain","gamma"
"best_fit_1a",1,1,"F1_Direct",1,"a","FRK2",0.034279539391092
"best_fit_1a",1,1,"F1_Direct",1,"a","FRL0",0.0170757519571363
"best_fit_1a",1,1,"F1_Direct",1,"a","HR031",0.0199838185976053
"best_fit_1a",1,1,"F1_Direct",1,"a","HR032",0.00500399971381695
"best_fit_1a",1,1,"F1_Direct",1,"a","HR033",0.0104750013828549
"best_fit_1a",1,1,"F1_Direct",1,"a","HR034",0.00458745850262568
"best_fit_1a",1,1,"F1_Direct",1,"a","HR035",0.0259718102674102
"best_fit_1a",1,1,"F1_Direct",1,"a","HR036",0.0102102423135672
"best_fit_1a",1,1,"F1_Direct",1,"a","HR037",0.00801110590239262
"best_fit_1a",1,1,"F1_Direct",1,"a","HU110",0.0280145838712801
"best_fit_1a",1,1,"F1_Direct",1,"a","HU120",0.0361276742361249
"best_fit_1a",1,1,"F1_Direct",1,"a","HU211",0.0164132133689961
"best_fit_1a",1,1,"F1_Direct",1,"a","HU212",0.0152758793064828
"best_fit_1a",1,1,"F1_Direct",1,"a","HU213",0.0212295718858618
"best_fit_1a",1,1,"F1_Direct",1,"a","HU221",0.00582064115078011
"best_fit_1a",1,1,"F1_Direct",1,"a","HU222",0.012711529448231
"best_fit_1a",1,1,"F1_Direct",1,"a","HU223",0.00934031117320085
"best_fit_1a",1,1,"F1_Direct",1,"a","HU231",0.00987221602538516
"best_fit_1a",1,1,"F1_Direct",1,"a","HU232",0.00929181415458837
"best_fit_1a",1,1,"F1_Direct",1,"a","HU233",0.000616368170458171
"best_fit_1a",1,1,"F1_Direct",1,"a","HU311",0.0326081816948534
"best_fit_1a",1,1,"F1_Direct",1,"a","HU312",0.0097484611632754
"best_fit_1a",1,1,"F1_Direct",1,"a","HU313",0.00124701511517695
"best_fit_1a",1,1,"F1_Direct",1,"a","HU321",0.0222749404605179
"best_fit_1a",1,1,"F1_Direct",1,"a","HU322",0.00589247801588094
"best_fit_1a",1,1,"F1_Direct",1,"a","HU323",0.0541582960388431
"best_fit_1a",1,1,"F1_Direct",1,"a","HU331",0.0106858378196115
"best_fit_1a",1,1,"F1_Direct",1,"a","HU332",0.00316392700464675
"best_fit_1a",1,1,"F1_Direct",1,"a","HU333",0.0116411224451323
"best_fit_1a",1,1,"F1_Direct",1,"a","IE041",0.0233983381836385
"best_fit_1a",1,1,"F1_Direct",1,"a","IE042",0.0229449024978334
"best_fit_1a",1,1,"F1_Direct",1,"a","IE051",0.0337867854982727
