"fit_key","model_index","response_index","spec_index","spec_code","term","coefficients","std.error","t.value","p.value"
"best_fit_4b",14,4,2,"b","school_count_per_1k_inhab",0.651587257159515,0.0511599229405751,12.7362830064535,3.71685295923638e-37
"best_fit_4b",14,4,2,"b","college_count_per_1k_inhab",3.52227464062054,0.835758162759559,4.21446633436457,2.50369493555665e-05
"best_fit_4b",14,4,2,"b","kindergarten_count_per_1k_inhab",0.594012587511129,0.0746500044834941,7.95730143114019,1.7583198605845e-15
"best_fit_4b",14,4,2,"b","library_count_per_1k_inhab",-1.08467229034804,0.600018647152599,-1.80773096885468,0.0706483821984069
"best_fit_4b",14,4,2,"b","social_facility_count_per_1k_inhab",-0.873726438737893,0.165956636453513,-5.26478758192137,1.40351539993219e-07
"best_fit_4b",14,4,2,"b","doctors_count_per_1k_inhab",0.956256793251683,0.340190291804079,2.81094674448384,0.00493959611418683
"best_fit_4b",14,4,2,"b","marketplace_count_per_1k_inhab",2.42904174953883,0.544800243879776,4.45859152382255,8.24999693403589e-06
"best_fit_4b",14,4,2,"b","shower_count_per_1k_inhab",0.292431539438795,0.161044637313031,1.8158415226853,0.0693946857339809
"best_fit_4b",14,4,2,"b","social_centre_count_per_1k_inhab",3.76588503134392,1.9722482641204,1.90943761992533,0.0562056616501469
"best_fit_4c",15,4,3,"c","POPDENSITY",1.8429836095055e-05,6.09074225610522e-06,3.02587686690917,0.00247913239460536
"best_fit_4c",15,4,3,"c","FEMALE_RATE",0.0111048688931729,0.000720411738629221,15.4146140293367,1.30548488756128e-53
"best_fit_4c",15,4,3,"c","RATE_Y60_79",-0.00544155823773918,0.00152362758455518,-3.57144901608475,0.00035501166230587
"best_fit_4c",15,4,3,"c","POVERTY_RATE",-0.00144592462765852,0.00051247752048388,-2.82144010198395,0.00478085646016825
"best_fit_4c",15,4,3,"c","ICCS0401_ROBBERY_RATE",-0.0334620488709976,0.0138650561108404,-2.41340883177784,0.0158040811192762
"best_fit_4c",15,4,3,"c","ICCS0502_THEFT_RATE",0.000718154753817455,0.000244665430695277,2.9352522413021,0.00333276643639845
"best_fit_4c",15,4,3,"c","school_count_per_1k_inhab",0.0747862463007432,0.0282214159231366,2.64998207405433,0.00804960417212413
"best_fit_4c",15,4,3,"c","library_count_per_1k_inhab",-0.689030605069956,0.225435191949232,-3.05644650736308,0.0022397744173899
"best_fit_4n",16,4,4,"n","(Intercept)",0.432234005288489,0.00401042483406622,107.777610396014,0
"best_fit_5a",17,5,1,"a","POPDENSITY",1.64246767348324e-05,6.9000898920582e-06,2.38035692168833,0.0172958762874259
"best_fit_5a",17,5,1,"a","FEMALE_RATE",0.0133773054804648,0.000762826940392876,17.5364879923815,7.54484885772607e-69
"best_fit_5a",17,5,1,"a","RATE_Y60_79",-0.00745397083425521,0.0018029117589695,-4.13440690991762,3.55872462704273e-05
