region,regunit,dweight,pweight,ppltrst,pplfair,pplhlp,sclmeet,inprdsc,sclact,imbgeco,imueclt,imwbcnt,trstprl,trstlgl,trstplt,trstprt,stfgov,stfdem,stfedu,stfhlth,unique_id,nuts1,nuts2,nuts3,F1W,F2W,F3W,F4W,F5W,F1W_scaled,F2W_scaled,F3W_scaled,F4W_scaled,F5W_scaled
SK042,3,0.21386053,0.3159043,4,5,5,7,1,3,8,5,5,2,1,0,1,0,0,1,0,SK66043,SK0,SK04,SK042,0.136,0.623,1.702,-2.627,-3.602,0.531953195319532,0.6485539000876424,0.6520586676091182,0.2063420768954366,0.18148364974491932
SK041,3,1.6332328,0.3159043,0,0,0,7,6,5,0,0,0,0,0,0,0,8,8,8,8,SK66057,SK0,SK04,SK041,-3.283,1.808,-2.781,-2.6,1.929,0.22421242124212423,0.9081945661700264,0.25596395122813215,0.20876751706791233,0.6440578740486744
SK042,3,0.8031655,0.3159043,2,3,4,7,1,3,3,2,3,5,7,5,4,2,4,6,6,SK66065,SK0,SK04,SK042,-1.007,0.496,-0.661,0.824,-0.103,0.4290729072907291,0.6207274320771253,0.4432761972079872,0.5163492633848364,0.4741155808313122
SK032,3,0.5664537,0.3159043,2,3,3,2,0,1,3,3,0,2,2,1,2,2,2,3,2,SK66109,SK0,SK03,SK032,-1.677,-1.518,-1.531,-1.86,-2.038,0.3687668766876687,0.17944785276073624,0.3664074924898392,0.27524254401724757,0.3122856903905662
SK031,3,0.44879055,0.3159043,0,6,8,6,1,3,2,1,3,10,8,10,9,10,5,6,2,SK66156,SK0,SK03,SK031,0.344,0.361,-0.963,5.018,3.096,0.5506750675067508,0.5911481156879931,0.41659303763915884,0.8931009701760689,0.7416576064230158
SK021,3,1.0910184,0.3159043,4,5,6,2,0,3,4,3,5,6,3,3,3,6,3,5,4,SK66216,SK0,SK02,SK021,0.436,-0.505,0.458,-0.102,0.29,0.5589558955895589,0.40140227870289225,0.5421452553454674,0.4331656485806683,0.5069833570293552
SK010,3,0.6940014,0.3159043,5,2,2,4,3,2,6,5,6,6,6,7,5,5,7,7,4,SK66235,SK0,SK01,SK010,-0.603,-0.173,1.771,2.227,1.881,0.4654365436543655,0.4741454864154251,0.6581551510867645,0.6423823212360761,0.6400434891695241
SK021,3,0.48090756,0.3159043,4,5,5,3,1,3,1,2,1,2,4,4,4,4,2,2,4,SK66253,SK0,SK02,SK021,0.128,-0.241,-1.707,0.062,-0.884,0.5312331233123313,0.45924627519719546,0.35085704188019085,0.447897951850521,0.40879819352680435
SK023,3,1.1604446,0.3159043,4,4,2,5,2,3,3,2,4,6,6,6,6,6,6,7,3,SK66293,SK0,SK02,SK023,-0.409,0.275,-0.27,2.052,1.692,0.4828982898289829,0.5723049956178791,0.4778229369146492,0.6266618756737333,0.6242368487078699
SK032,3,0.19856878,0.3159043,2,5,6,5,0,3,2,3,2,1,10,1,3,1,2,6,2,SK66302,SK0,SK03,SK032,-0.328,0.004,-0.965,-1.637,-1.891,0.4901890189018902,0.5129272567922875,0.41641632797314015,0.29527488321954726,0.324579744082964
